batch,scenario,doctrine,score,assignments
simulated_campaign_batch_2.json,007,saturation,220.46804332733154,0
simulated_campaign_batch_2.json,007,scout,238.07869873046874,2
simulated_campaign_batch_2.json,008,balanced,311.2166288757324,15
simulated_campaign_batch_2.json,008,aggressive,297.6511328125,32
simulated_campaign_batch_2.json,008,fortress,607.2323644256591,15
simulated_campaign_batch_2.json,008,economy,212.44785911560058,15
simulated_campaign_batch_2.json,008,ambush,132.3878325653076,15
simulated_campaign_batch_2.json,008,saturation,241.03979759216307,19
simulated_campaign_batch_2.json,008,scout,111.94046630859374,15
simulated_campaign_batch_2.json,009,balanced,537.0425449371337,2
simulated_campaign_batch_2.json,009,aggressive,325.4515441894531,2
simulated_campaign_batch_2.json,009,fortress,838.810927772522,2
simulated_campaign_batch_2.json,009,economy,443.998939704895,2
simulated_campaign_batch_2.json,009,ambush,361.30619297027584,2
simulated_campaign_batch_2.json,009,saturation,441.3362382888794,2
simulated_campaign_batch_2.json,009,scout,344.054931640625,2
simulated_campaign_batch_2.json,010,balanced,527.9097601318359,3
simulated_campaign_batch_2.json,010,aggressive,307.464580078125,3
simulated_campaign_batch_2.json,010,fortress,823.0460275268554,3
simulated_campaign_batch_2.json,010,economy,429.9456222534179,3
simulated_campaign_batch_2.json,010,ambush,349.13344940185544,3
simulated_campaign_batch_2.json,010,saturation,423.5729208374023,3
simulated_campaign_batch_2.json,010,scout,324.21483154296874,3
simulated_campaign_batch_20.json,096,balanced,405.46112136840816,3
simulated_campaign_batch_20.json,096,aggressive,312.7201049804687,6
simulated_campaign_batch_20.json,096,fortress,697.3594654083251,3
simulated_campaign_batch_20.json,096,economy,304.35694313049316,3
simulated_campaign_batch_20.json,096,ambush,208.81073799133299,3
simulated_campaign_batch_20.json,096,saturation,309.5692417144775,3
simulated_campaign_batch_20.json,096,scout,185.32736206054688,3
simulated_campaign_batch_20.json,097,balanced,405.37014152526854,10
simulated_campaign_batch_20.json,097,aggressive,288.6688537597656,12
simulated_campaign_batch_20.json,097,fortress,699.8419254684447,10
simulated_campaign_batch_20.json,097,economy,303.41727352142334,10
simulated_campaign_batch_20.json,097,ambush,337.54703380584715,12
simulated_campaign_batch_20.json,097,saturation,288.07535945892334,10
simulated_campaign_batch_20.json,097,scout,318.9093273925781,12
simulated_campaign_batch_20.json,098,balanced,-476.84611320495605,0
simulated_campaign_batch_20.json,098,aggressive,186.6744201660156,20
simulated_campaign_batch_20.json,098,fortress,-183.38776836395263,0
simulated_campaign_batch_20.json,098,economy,-575.0406713485718,0
simulated_campaign_batch_20.json,098,ambush,-653.9165143966675,0
simulated_campaign_batch_20.json,098,saturation,-575.2185583114624,0
simulated_campaign_batch_20.json,098,scout,-673.5910034179688,0
simulated_campaign_batch_20.json,099,balanced,492.942166519165,1
simulated_campaign_batch_20.json,099,aggressive,276.3250549316406,1
simulated_campaign_batch_20.json,099,fortress,788.4312036514282,1
simulated_campaign_batch_20.json,099,economy,392.4133317947387,1
simulated_campaign_batch_20.json,099,ambush,310.9773355484009,1
simulated_campaign_batch_20.json,099,saturation,400.2505937576294,1
simulated_campaign_batch_20.json,099,scout,292.3340209960937,1
simulated_campaign_batch_20.json,100,balanced,-296.02931365966793,3
simulated_campaign_batch_20.json,100,aggressive,185.3956433105469,20
